"game_id","season","season_type","home_team_name","away_team_name"
"401267254",2021,2,"Philadelphia","Charlotte"
"401267255",2021,2,"Atlanta","New York"
"401267256",2021,2,"Miami","Oklahoma City"
"401267257",2021,2,"Toronto","Boston"
"401267258",2021,2,"Houston","Dallas"
"401267259",2021,2,"Milwaukee","Detroit"
"401267260",2021,2,"New Orleans","Indiana"
"401267261",2021,2,"Golden State","Sacramento"
"401267262",2021,2,"Brooklyn","Utah"
"401267263",2021,2,"Memphis","Los Angeles"
"401267264",2021,2,"Denver","Minnesota"
"401267265",2021,2,"LA","San Antonio"
"401267266",2021,2,"Portland","Chicago"
"401267267",2021,2,"Indiana","Houston"
"401267268",2021,2,"Orlando","Cleveland"
"401267269",2021,2,"Philadelphia","Washington"
"401267270",2021,2,"Atlanta","Charlotte"
"401267271",2021,2,"Miami","Boston"
"401267272",2021,2,"New York","Utah"
"401267273",2021,2,"Milwaukee","Detroit"
"401267274",2021,2,"New Orleans","Oklahoma City"
"401267275",2021,2,"Phoenix","Toronto"
"401267276",2021,2,"Golden State","LA"
"401267277",2021,2,"Sacramento","Chicago"
"401267278",2021,2,"Brooklyn","Philadelphia"
"401267279",2021,2,"Memphis","Cleveland"
"401267280",2021,2,"Denver","Dallas"
"401267281",2021,2,"Los Angeles","San Antonio"
"401267282",2021,2,"Portland","Minnesota"
"401267283",2021,2,"Detroit","Phoenix"
"401267284",2021,2,"Boston","Washington"
"401267285",2021,2,"New York","Oklahoma City"
"401267286",2021,2,"New Orleans","Charlotte"
"401267287",2021,2,"Houston","Orlando"
"401267288",2021,2,"Memphis","Brooklyn"
"401267289",2021,2,"Milwaukee","Utah"
"401267290",2021,2,"Golden State","LA"
"401267291",2021,2,"Los Angeles","Chicago"
"401267292",2021,2,"Sacramento","Toronto"
"401267293",2021,2,"Philadelphia","Denver"
"401267294",2021,2,"Charlotte","Atlanta"
"401267295",2021,2,"Indiana","Phoenix"
"401267296",2021,2,"Washington","Miami"
"401267297",2021,2,"Milwaukee","Cleveland"
"401267298",2021,2,"Minnesota","San Antonio"
"401267299",2021,2,"Dallas","Orlando"
"401267300",2021,2,"Sacramento","Portland"
"401267301",2021,2,"Detroit","Utah"
"401267302",2021,2,"LA","Chicago"
"401267303",2021,2,"Brooklyn","Oklahoma City"
"401267304",2021,2,"New York","Denver"
"401267306",2021,2,"Houston","Los Angeles"
"401267307",2021,2,"Minnesota","San Antonio"
"401267308",2021,2,"Golden State","Toronto"
"401267309",2021,2,"Charlotte","New York"
"401267310",2021,2,"Cleveland","Memphis"
"401267311",2021,2,"Orlando","Milwaukee"
"401267312",2021,2,"Washington","Phoenix"
"401267313",2021,2,"Atlanta","Philadelphia"
"401267315",2021,2,"Portland","Toronto"
"401267316",2021,2,"Sacramento","Indiana"
"401267317",2021,2,"Philadelphia","Miami"
"401267318",2021,2,"Brooklyn","Denver"
"401267319",2021,2,"Cleveland","Utah"
"401267321",2021,2,"Houston","Los Angeles"
"401267322",2021,2,"Oklahoma City","San Antonio"
"401267323",2021,2,"Golden State","Indiana"
"401267324",2021,2,"Charlotte","Dallas"
"401267325",2021,2,"Detroit","Milwaukee"
"401267328",2021,2,"New York","Brooklyn"
"401267329",2021,2,"Minnesota","Memphis"
"401267330",2021,2,"Oklahoma City","Los Angeles"
"401267332",2021,2,"LA","New Orleans"
"401267333",2021,2,"Sacramento","Portland"
"401267334",2021,2,"Philadelphia","Miami"
"401267335",2021,2,"Toronto","Charlotte"
"401267336",2021,2,"San Antonio","Houston"
