"game_id","season","season_type","home_team_name","away_team_name"
"401301778",2021,2,"Wichita State","Cincinnati"
"401301779",2021,2,"Houston","Memphis"
"401301780",2021,2,"Houston","Cincinnati"
"401301833",2021,2,"Davidson","Southern Virginia"
"401301859",2021,2,"California Baptist","Seattle U"
"401301864",2021,2,"Grand Canyon","Seattle U"
"401301865",2021,2,"Utah Valley","New Mexico State"
"401301868",2021,2,"Grand Canyon","New Mexico State"
"401301875",2021,2,"Hartford","UMass Lowell"
"401301878",2021,2,"UMBC","UMass Lowell"
"401301879",2021,2,"Vermont","Hartford"
"401301885",2021,2,"UMass Lowell","Stony Brook"
"401301886",2021,2,"Hartford","Binghamton"
"401301887",2021,2,"Hartford","Albany"
"401301907",2021,2,"New Hampshire","UMass Lowell"
"401301940",2021,2,"Elon","Towson"
"401301941",2021,2,"William & Mary","UNC Wilmington"
"401301942",2021,2,"Hofstra","Delaware"
"401301945",2021,2,"James Madison","Elon"
"401301946",2021,2,"Northeastern","William & Mary"
"401301947",2021,2,"Charleston","Drexel"
"401301948",2021,2,"Northeastern","Drexel"
"401301949",2021,2,"Hofstra","Elon"
"401301950",2021,2,"Drexel","Elon"
"401301991",2021,2,"St. Bonaventure","Davidson"
"401301992",2021,2,"George Washington","Rhode Island"
"401302093",2021,2,"San Diego","Pacific"
"401302113",2021,2,"Gonzaga","Santa Clara"
"401302133",2021,2,"BYU","San Francisco"
"401302153",2021,2,"Saint Mary's","Pacific"
"401302173",2021,2,"Pacific","San Francisco"
"401302193",2021,2,"Gonzaga","Loyola Marymount"
"401302213",2021,2,"BYU","Saint Mary's"
"401302253",2021,2,"Saint Joseph's","La Salle"
"401302254",2021,2,"Richmond","Duquesne"
"401302344",2021,2,"Eastern Michigan","Bowling Green"
"401302345",2021,2,"Ohio","Akron"
"401302352",2021,2,"Charleston","Columbus State"
"401302413",2021,2,"Northern Illinois","Buffalo"
"401302613",2021,2,"Jackson State","Grambling"
"401302738",2021,2,"Richmond","Saint Joseph's"
"401302739",2021,2,"Ohio","Eastern Michigan"
"401302740",2021,2,"Louisiana","UT Arlington"
"401302741",2021,2,"Arkansas State","Texas State"
"401302743",2021,2,"Campbell","High Point"
"401302747",2021,2,"Nebraska","Minnesota"
"401302748",2021,2,"Michigan","Illinois"
"401302749",2021,2,"Michigan State","Indiana"
"401302750",2021,2,"Michigan","Michigan State"
"401302751",2021,2,"Iowa","Nebraska"
"401302785",2021,2,"Merrimack","Bryant"
"401302787",2021,2,"Delaware State","St. Mary's (MD)"
"401302788",2021,2,"Texas Southern","Prairie View A&M"
"401302791",2021,2,"Longwood","Hampton"
"401303033",2021,2,"North Carolina","Marquette"
"401303236",2021,2,"Liberty","North Alabama"
"401303237",2021,2,"Liberty","North Alabama"
"401303293",2021,2,"Davidson","St. Bonaventure"
"401303313",2021,2,"George Mason","George Washington"
"401303333",2021,2,"La Salle","Duquesne"
"401303353",2021,2,"St. Bonaventure","George Washington"
"401303373",2021,2,"George Mason","La Salle"
"401303393",2021,2,"Duquesne","Rhode Island"
"401303433",2021,2,"USC","Oregon"
"401303453",2021,2,"Arizona State","Washington"
"401303613",2021,2,"UT Rio Grande Valley","Dallas Christian"
"401303675",2021,2,"South Carolina Upstate","Gardner-Webb"
"401303698",2021,2,"Albany","NJIT"
"401303773",2021,2,"Western Kentucky","Florida International"
"401303813",2021,2,"Houston","Western Kentucky"
"401303922",2021,2,"Arizona State","Washington State"
"401303923",2021,2,"Utah","Washington"
"401303924",2021,2,"Stanford","California"
"401303925",2021,2,"Oregon","Arizona State"
"401303926",2021,2,"UCLA","Oregon State"
"401303927",2021,2,"USC","Utah"
"401303928",2021,2,"Colorado","California"
"401303929",2021,2,"Oregon","Oregon State"
"401303930",2021,2,"USC","Colorado"
"401303931",2021,2,"Colorado","Oregon State"
"401303933",2021,2,"Stetson","North Florida"
"401303953",2021,2,"Stetson","North Florida"
"401304472",2021,2,"UAB","Rust"
"401304533",2021,2,"Saint Louis","UMass"
"401304553",2021,2,"Northern Colorado","Warner Pacific"
"401305582",2021,2,"Western Michigan","Miami (OH)"
"401305697",2021,2,"Utah","Oregon State"
"401305698",2021,2,"Utah","Arizona State"
"401305699",2021,2,"Oregon","UCLA"
"401305701",2021,2,"Siena","Manhattan"
"401305702",2021,2,"Siena","Manhattan"
"401305703",2021,2,"Siena","Canisius"
"401305704",2021,2,"Siena","Canisius"
"401305707",2021,2,"Quinnipiac","Saint Peter's"
"401305708",2021,2,"Quinnipiac","Saint Peter's"
"401305709",2021,2,"Central Michigan","Miami (OH)"
"401306172",2021,2,"Colorado","Arizona State"
"401306373",2021,2,"Syracuse","Clemson"
"401306413",2021,2,"UNC Wilmington","Elon"
"401306433",2021,2,"Nevada","Colorado State"
